      0.28140      -0.88124     -28.59532     -10.86246
      0.29260      -0.88177     -28.59532     -10.85592
      0.30060      -0.88132     -28.59532     -10.86140
      0.30860      -0.89640     -29.19732     -10.88398
      0.31020      -0.87078     -27.99331     -10.78040
      0.31500      -0.89564     -29.19732     -10.89322
      0.31980      -0.86366     -27.39130     -10.65383
      0.32140      -0.89569     -29.19732     -10.89259
      0.32780      -0.87146     -27.99331     -10.77201
      0.32940      -0.89788     -29.19732     -10.86603
      0.33420      -0.89593     -29.19732     -10.88967
      0.33580      -0.87116     -27.99331     -10.77577
      0.34060      -0.91553     -29.79933     -10.85635
      0.34220      -0.85914     -26.78930     -10.49217
      0.34380      -0.87175     -27.99331     -10.76843
      0.34540      -0.89628     -29.19732     -10.88536
      0.35020      -0.89592     -29.19732     -10.88977
      0.35180      -0.87180     -27.99331     -10.76783
      0.35500      -0.89582     -29.19732     -10.89099
      0.35660      -0.94234     -30.40134     -10.74039
      0.35820      -0.85957     -26.78930     -10.48695
      0.35980      -0.87196     -27.99331     -10.76580
      0.36140      -0.89768     -29.19732     -10.86840
      0.36460      -0.94098     -30.40134     -10.75584
      0.36620      -0.87098     -27.99331     -10.77798
      0.36780      -0.89870     -29.19732     -10.85616
      0.37100      -0.85929     -26.78930     -10.49027
      0.37260      -0.94107     -30.40134     -10.75489
      0.37420      -0.89972     -29.19732     -10.84384
      0.37580      -0.87343     -27.99331     -10.74773
      0.37740      -0.89566     -29.19732     -10.89301
      0.38060      -0.94171     -30.40134     -10.74750
      0.38220      -0.89616     -29.19732     -10.88688
      0.38380      -0.87342     -27.99331     -10.74780
      0.38540      -0.86093     -26.78930     -10.47038
      0.38700      -0.89634     -29.19732     -10.88465
      0.38860      -0.94284     -30.40134     -10.73469
      0.39020      -0.87231     -27.99331     -10.76155
      0.39180      -0.89625     -29.19732     -10.88579
      0.39340      -0.85908     -26.78930     -10.49291
      0.39500      -0.94255     -30.40134     -10.73801
      0.39660      -0.89635     -29.19732     -10.88455
      0.39820      -0.87319     -27.99331     -10.75062
      0.40140      -0.94303     -30.40134     -10.73249
      0.40300      -0.87121     -27.99331     -10.77510
      0.40460      -0.86013     -26.78930     -10.48005
      0.40620      -0.94174     -30.40134     -10.74722
      0.40780      -0.90438     -29.19732     -10.78795
      0.40940      -0.87248     -27.99331     -10.75943
      0.41100      -0.94123     -30.40134     -10.75305
      0.41260      -0.85340     -25.58528     -10.12077
      0.41420      -0.85996     -26.78930     -10.48209
      0.41580      -0.87375     -27.99331     -10.74383
      0.41740      -0.90776     -29.19732     -10.74775
      0.41900      -0.94620     -30.40134     -10.69656
      0.42060      -0.87250     -27.99331     -10.75920
      0.42220      -0.85881     -26.78930     -10.49617
      0.42380      -0.94514     -30.40134     -10.70851
      0.42540      -0.87235     -27.99331     -10.76107
      0.42700      -0.94183     -30.40134     -10.74613
      0.42860      -0.88310     -28.59532     -10.83959
      0.43020      -0.91635     -29.79933     -10.84656
      0.43180      -0.89749     -29.19732     -10.87075
      0.43340      -0.86086     -26.78930     -10.47114
      0.43500      -0.89829     -29.19732     -10.86100
      0.43660      -0.94615     -30.40134     -10.69713
      0.43820      -0.87738     -27.99331     -10.69926
      0.43980      -0.85953     -26.78930     -10.48742
      0.44140      -0.88160     -28.59532     -10.85803
      0.44300      -0.94963     -30.40134     -10.65791
      0.44460      -0.94183     -30.40134     -10.74615
      0.44620      -0.85610     -25.58528     -10.08882
      0.44780      -0.90725     -29.19732     -10.75377
      0.44940      -0.86759     -27.39130     -10.60564
      0.45100      -0.87191     -27.99331     -10.76649
      0.45260      -0.95185     -30.40134     -10.63303
      0.45420      -0.94401     -30.40134     -10.72137
      0.45580      -0.86118     -26.78930     -10.46726
      0.45740      -0.94393     -30.40134     -10.72226
      0.45900      -0.89571     -28.59532     -10.68695
      0.46060      -0.85950     -26.78930     -10.48780
      0.46220      -0.87748     -27.99331     -10.69807
      0.46380      -0.97743     -31.00334     -10.53965
      0.46540      -0.87573     -27.99331     -10.71953
      0.46700      -0.91751     -29.19732     -10.63356
      0.46860      -0.97784     -31.00334     -10.53524
      0.47020      -0.87756     -27.99331     -10.69716
      0.47180      -0.88348     -28.59532     -10.83488
      0.47340      -0.86475     -26.78930     -10.42404
      0.47500      -0.88617     -28.59532     -10.80202
      0.47660      -0.85982     -26.78930     -10.48386
      0.47820      -0.94156     -29.79933     -10.55617
      0.47980      -0.87561     -27.99331     -10.72099
      0.48140      -0.85685     -24.98328      -9.85832
