0.200000000D-03  -.249896795D+00  0.000000000D+00
0.100000000D-01  -.251789723D+00  0.000000000D+00
0.200000000D-01  -.253663462D+00  0.000000000D+00
0.300000000D-01  -.255489959D+00  0.000000000D+00
0.400000000D-01  -.257278153D+00  0.000000000D+00
0.500000000D-01  -.259034773D+00  0.000000000D+00
0.600000000D-01  -.260764924D+00  0.000000000D+00
0.700000000D-01  -.262472564D+00  0.000000000D+00
0.800000000D-01  -.264160824D+00  0.000000000D+00
0.900000000D-01  -.265832231D+00  0.000000000D+00
0.100000000D+00  -.267488860D+00  0.000000000D+00
0.110000000D+00  -.269132441D+00  0.000000000D+00
0.120000000D+00  -.270764435D+00  0.000000000D+00
0.130000000D+00  -.272386093D+00  0.000000000D+00
0.140000000D+00  -.273998495D+00  0.000000000D+00
0.150000000D+00  -.275602584D+00  0.000000000D+00
0.160000000D+00  -.277199187D+00  0.000000000D+00
0.170000000D+00  -.278789040D+00  0.000000000D+00
0.180000000D+00  -.280372797D+00  0.000000000D+00
0.190000000D+00  -.281951047D+00  0.000000000D+00
0.200000000D+00  -.283524320D+00  0.000000000D+00
0.210000000D+00  -.285093098D+00  0.000000000D+00
0.220000000D+00  -.286657820D+00  0.000000000D+00
0.230000000D+00  -.288218888D+00  0.000000000D+00
0.240000000D+00  -.289776672D+00  0.000000000D+00
0.250000000D+00  -.291331511D+00  0.000000000D+00
0.260000000D+00  -.292883721D+00  0.000000000D+00
0.270000000D+00  -.294433595D+00  0.000000000D+00
0.280000000D+00  -.295981406D+00  0.000000000D+00
0.290000000D+00  -.297527407D+00  0.932750329D-57
0.300000000D+00  -.299071837D+00  0.154072249D-39
0.310000000D+00  -.300614919D+00  0.117196793D-30
0.320000000D+00  -.302156862D+00  0.301242212D-25
0.330000000D+00  -.303697865D+00  0.131661452D-21
0.340000000D+00  -.305238114D+00  0.540257106D-19
0.350000000D+00  -.306777785D+00  0.495636456D-17
0.360000000D+00  -.308317045D+00  0.166272754D-15
0.370000000D+00  -.309856052D+00  0.275632667D-14
0.380000000D+00  -.311394957D+00  0.274187303D-13
0.390000000D+00  -.312933903D+00  0.186500822D-12
